height,weight,male,earn,earnk,ethnicity,education,mother_education,father_education,walk,exercise,smokenow,tense,angry,age
74,210.0,1,50000.0,50.0,White,16.0,16.0,16.0,3,3,2.0,0.0,0.0,45
66,125.0,0,60000.0,60.0,White,16.0,16.0,16.0,6,5,1.0,0.0,0.0,58
64,126.0,0,30000.0,30.0,White,16.0,16.0,16.0,8,1,2.0,1.0,1.0,29
65,200.0,0,25000.0,25.0,White,17.0,17.0,13.7,8,1,2.0,0.0,0.0,57
63,110.0,0,50000.0,50.0,Other,16.0,16.0,16.0,5,6,2.0,0.0,0.0,91
68,165.0,0,62000.0,62.0,Black,18.0,18.0,18.0,1,1,2.0,2.0,2.0,54
63,190.0,0,51000.0,51.0,White,17.0,17.0,17.0,3,1,2.0,4.0,4.0,39
64,125.0,0,9000.0,9.0,White,15.0,15.0,15.0,7,4,1.0,4.0,4.0,26
62,200.0,0,29000.0,29.0,White,12.0,12.0,12.0,2,2,2.0,0.0,0.0,49
73,230.0,1,32000.0,32.0,White,17.0,17.0,17.0,7,1,1.0,0.0,0.0,46
72,176.0,1,2000.0,2.0,Hispanic,15.0,15.0,15.0,8,1,2.0,0.0,0.0,21
72,265.0,1,35000.0,35.0,White,13.2,99.0,99.0,1,1,2.0,0.0,0.0,53
72,160.0,1,27000.0,27.0,White,12.0,12.0,12.0,1,2,2.0,1.0,1.0,26
70,225.0,1,6530.0,6.53,White,16.0,16.0,13.7,4,1,2.0,0.0,0.0,65
63,107.0,0,0.0,0.0,White,14.0,14.0,14.0,7,4,2.0,2.0,2.0,50
68,170.0,1,30000.0,30.0,White,11.0,13.6,13.7,7,4,2.0,0.0,0.0,34
68,144.0,1,12000.0,12.0,White,12.0,12.0,12.0,6,5,2.0,2.0,2.0,27
71,193.0,1,15000.0,15.0,White,18.0,18.0,18.0,4,6,2.0,0.0,0.0,51
65,250.0,0,12000.0,12.0,White,12.0,12.0,12.0,5,1,2.0,1.0,1.0,51
